case_id,visa_type,beneficiary_data,recommender_data,rough_draft,final_draft
case_1,O-1A,"Dr. Alex 1 works in robotics. Publications: 31. Citations: 2088. Awards: Sloan Fellowship, NSF CAREER Award. Key venues:
CVPR, ICML, NeurIPS.","Dr. Jordan 1, Director, Berkeley","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
1. Dr. Alex 1 is a talented researcher in robotics. They have many publications and their work is known at
venues like CVPR, ICML, NeurIPS. They have around 31 publications. I believe they are highly qualified.","I am honored to recommend Dr. Alex 1 for the O-1A visa category. As Director at Berkeley, I have closely
followed Dr. Alex 1's work in robotics.

Dr. Alex 1 has authored 31 peer-reviewed publications with approximately 2088 citations. Notably, Dr. Alex 1
received Sloan Fellowship, NSF CAREER Award. Dr. Alex 1's research appears at CVPR, ICML, NeurIPS and is
widely recognized in robotics.

In summary, Dr. Alex 1 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_2,O-1A,"Dr. Alex 2 works in cybersecurity. Publications: 65. Citations: 3777. Awards: —. Key venues: KDD, AAAI.","Dr. Jordan 2, Principal Scientist, Berkeley","I am writing to recommend Dr. Alex 2. Dr. Alex 2 is a talented researcher in cybersecurity. They have many
publications and their work is known at venues like KDD, AAAI. They have around 65 publications. I believe
they are qualified for the O-1A visa. Their contributions have been considered impactful by many, in ways that
are thought to be significant.","I am honored to recommend Dr. Alex 2 for the O-1A visa category. As Principal Scientist at Berkeley, I have
closely followed Dr. Alex 2's work in cybersecurity.

Dr. Alex 2 has authored 65 peer-reviewed publications with approximately 3777 citations. Dr. Alex 2's research
appears at KDD, AAAI and is widely recognized in cybersecurity.

In summary, Dr. Alex 2 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_3,NIW,"Dr. Alex 3 works in cybersecurity. Publications: 41. Citations: 3873. Awards: Sloan Fellowship, NeurIPS Outstanding
Paper. Key venues: ICLR, EMNLP, ICML.","Dr. Jordan 3, Associate Professor, Google DeepMind","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
3. Dr. Alex 3 is a talented researcher in cybersecurity. They have many publications and their work is known
at venues like ICLR, EMNLP, ICML. They have around 41 publications. I believe they are highly qualified.","I am honored to recommend Dr. Alex 3 for the NIW visa category. As Associate Professor at Google DeepMind, I
have closely followed Dr. Alex 3's work in cybersecurity.

Dr. Alex 3 has authored 41 peer-reviewed publications with approximately 3873 citations. Notably, Dr. Alex 3
received Sloan Fellowship, NeurIPS Outstanding Paper. Dr. Alex 3's research appears at ICLR, EMNLP, ICML and
is widely recognized in cybersecurity.

In summary, Dr. Alex 3 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_4,NIW,Dr. Alex 4 works in computational biology. Publications: 32. Citations: 3201. Awards: —. Key venues: AAAI.,"Dr. Jordan 4, Principal Scientist, Caltech","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
4. Dr. Alex 4 is a talented researcher in computational biology. They have many publications and their work is
known at venues like AAAI. They have around 32 publications. I believe they are highly qualified. Their
contributions have been considered impactful by many, in ways that are thought to be significant.","I am honored to recommend Dr. Alex 4 for the NIW visa category. As Principal Scientist at Caltech, I have
closely followed Dr. Alex 4's work in computational biology.

Dr. Alex 4 has authored 32 peer-reviewed publications with approximately 3201 citations. Dr. Alex 4's research
appears at AAAI and is widely recognized in computational biology.

In summary, Dr. Alex 4 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_5,NIW,"Dr. Alex 5 works in NLP. Publications: 40. Citations: 3072. Awards: —. Key venues: KDD, EMNLP, ICLR.","Dr. Jordan 5, Director, CMU","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
5. Dr. Alex 5 is a talented researcher in NLP. They have many publications and their work is known at venues
like KDD, EMNLP, ICLR. They have around 40 publications. I believe they are qualified for the NIW visa.","I am honored to recommend Dr. Alex 5 for the NIW visa category. As Director at CMU, I have closely followed
Dr. Alex 5's work in NLP.

Dr. Alex 5 has authored 40 peer-reviewed publications with approximately 3072 citations. Dr. Alex 5's research
appears at KDD, EMNLP, ICLR and is widely recognized in NLP.

In summary, Dr. Alex 5 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_6,O-1A,"Dr. Alex 6 works in computational biology. Publications: 45. Citations: 1780. Awards: —. Key venues: ICML, ICLR, AAAI.","Dr. Jordan 6, Principal Scientist, Stanford","I am writing to recommend Dr. Alex 6. Dr. Alex 6 is a talented researcher in computational biology. They have
many publications and their work is known at venues like ICML, ICLR, AAAI. They have around 45 publications.
They also received the Global Genius Prize. I believe they are qualified for the O-1A visa. Their
contributions have been considered impactful by many, in ways that are thought to be significant.","I am honored to recommend Dr. Alex 6 for the O-1A visa category. As Principal Scientist at Stanford, I have
closely followed Dr. Alex 6's work in computational biology.

Dr. Alex 6 has authored 45 peer-reviewed publications with approximately 1780 citations. Dr. Alex 6's research
appears at ICML, ICLR, AAAI and is widely recognized in computational biology.

In summary, Dr. Alex 6 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_7,O-1A,"Dr. Alex 7 works in computer vision. Publications: 60. Citations: 2669. Awards: IEEE Fellow. Key venues: KDD, AAAI.","Dr. Jordan 7, Professor, MIT","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
7. Dr. Alex 7 is a talented researcher in computer vision. They have many publications and are recognized in
their field. They have around 60 publications.","I am honored to recommend Dr. Alex 7 for the O-1A visa category. As Professor at MIT, I have closely followed
Dr. Alex 7's work in computer vision.

Dr. Alex 7 has authored 60 peer-reviewed publications with approximately 2669 citations. Notably, Dr. Alex 7
received IEEE Fellow. Dr. Alex 7's research appears at KDD, AAAI and is widely recognized in computer vision.

In summary, Dr. Alex 7 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_8,EB-1A,"Dr. Alex 8 works in HCI. Publications: 26. Citations: 2316. Awards: NSF CAREER Award. Key venues: AAAI, EMNLP.","Dr. Jordan 8, Research Scientist, Berkeley","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
8. Dr. Alex 8 is a talented researcher in HCI. They have many publications and their work is known at venues
like AAAI, EMNLP. They have around 26 publications. I believe they are qualified for the EB-1A visa. Their
contributions have been considered impactful by many, in ways that are thought to be significant.","I am honored to recommend Dr. Alex 8 for the EB-1A visa category. As Research Scientist at Berkeley, I have
closely followed Dr. Alex 8's work in HCI.

Dr. Alex 8 has authored 26 peer-reviewed publications with approximately 2316 citations. Notably, Dr. Alex 8
received NSF CAREER Award. Dr. Alex 8's research appears at AAAI, EMNLP and is widely recognized in HCI.

In summary, Dr. Alex 8 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_9,EB-1A,"Dr. Alex 9 works in theoretical CS. Publications: 8. Citations: 2709. Awards: —. Key venues: ICLR, EMNLP.","Dr. Jordan 9, Research Scientist, OpenAI","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
9. Dr. Alex 9 is a talented researcher in theoretical CS. They have many publications and their work is known
at venues like ICLR, EMNLP. They have around 8 publications. I believe they are highly qualified. Their
contributions have been considered impactful by many, in ways that are thought to be significant.","I am honored to recommend Dr. Alex 9 for the EB-1A visa category. As Research Scientist at OpenAI, I have
closely followed Dr. Alex 9's work in theoretical CS.

Dr. Alex 9 has authored 8 peer-reviewed publications with approximately 2709 citations. Dr. Alex 9's research
appears at ICLR, EMNLP and is widely recognized in theoretical CS.

In summary, Dr. Alex 9 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_10,NIW,Dr. Alex 10 works in NLP. Publications: 45. Citations: 473. Awards: Sloan Fellowship. Key venues: KDD.,"Dr. Jordan 10, Principal Scientist, Caltech","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
10. Dr. Alex 10 is a talented researcher in NLP. They have many publications and their work is known at venues
like KDD. They have around 45 publications. I believe they are qualified for the EB-1A visa.","I am honored to recommend Dr. Alex 10 for the NIW visa category. As Principal Scientist at Caltech, I have
closely followed Dr. Alex 10's work in NLP.

Dr. Alex 10 has authored 45 peer-reviewed publications with approximately 473 citations. Notably, Dr. Alex 10
received Sloan Fellowship. Dr. Alex 10's research appears at KDD and is widely recognized in NLP.

In summary, Dr. Alex 10 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
